NOME;UNID;CODBARRA;NCM;FATOR;MARCA;DEPTO;DESCRICAO;FOTO_SMALL;FOTO_BIG
MASCARA PARA PENTEAR VITA COLOR TINGIDOS CAPI;UN;7896522023619;33051000;1;;;;;
PEPINO EM CONSERVA REAL ESPECIAL PARA LANCHES;UN;7898168290028;20011000;1;;PEPINO CONSERVA;;;
LIXA NORTON ACQUA FLEX 120;UN;7891792212008;68052000;1;;;;;
PATE DEFUMADO DE PRESUNTO 120G;UN;7891515944247;16023200;1;PATE;FRIOS E LATICINIOS;;;
HAVAIANAS TOP ROYAL 35/36;UN;7891224726578;64022000;1;;;;;
LAPIS GRAFITE MARMORI FABER CASTELL C/4UN;UN;7891360473176;96091000;1;;;;;
PAPEL HIGIENICO NEVE ELEGANCE SALMON PERFUMAD;UN;7891172422133;48181000;1;PAPEL HIGIENICO;PAPEL HIGIENICO;;;
GARRAFA TERMIC NOV EUREK RF8641 INVICTA 750ML;UN;7891691086410;96170010;1;;GARRAFA TERMICA DIVERSAS;;;
JARRA PLASTICA SANREMO REF 791;UN;7896359010172;39241000;1;JARRAS;PLASTICOS;;;
NATURIS SOJA LIQ MOR BATAVO 180G;UN;7891515939243;22029000;1;IOGURTE;FRIOS E LATICINIOS;;;
ODORIZANTE GEL MONZA MGO 60G;UN;7896067720738;33074900;1;;;;;
PESSEGOS EM CALDA METADES LAR 400G;UN;7896419701552;20087010;1;;ENLATADOS DOCE;;;
PUDIM BRETZKE COCO 85G;UN;7896072077070;21069021;1;PUDIM;PUDIM;;;
GELATINA BRETZKE LARANJA 85G;UN;7896072048117;21069029;1;GELATINA EM PO;GELATINA;;;
PAO DE LEITE NINO 400 G;UN;7896096500011;19059010;1;PAES;PAES INDUSTRIALIZADOS;;;
IOG LECO LIGHT MORANGO 460G;UN;7892999933529;04031000;1;IOGURTE;FRIOS E LATICINIOS;;;
LEITE ELEGE INTEGRAL 1L;UN;7896079500151;04012010;1;LEITE;LEITE LONGA VIDA;;;
HOT POCKET SADIA REQ/CALAB 120G;UN;7893000018815;19022000;1;RECHEADOS;FRIOS;;;
POLIDOR METAIS BRASSO RECKITT 200ML;UN;7891035060007;34059000;1;CERA;LIMPADORES DIVERSOS;;;
FRALDAS LES ENFANTS EG 8UN;UN;7898148645244;48184010;1;;PERFUMARIA/COSMETICOS;;;
FRALDAS LES ENFANTS M 10UN;UN;7898148645503;48184010;1;FRALDA;MERCEARIA;;;
FRALDA T.MONICA TRIPLA PROT EG 8UN;UN;7896007510597;48184010;1;FRALDA DESCAR;PERFUMARIA/COSMETICOS;;;
FRALDA PAMPERS TOT C. M 11UN;UN;7501007480862;48184010;1;FRALDA DESCAR;FRALDA DESCARTÁVEL DIVERSAS;;;
FRALDA PAMPERS TOT C. M 11UN;UN;7590002028407;48184010;1;FRALDA DESCAR;FRALDA DESCARTÁVEL DIVERSAS;;;
MASSA SEM. RIGATONI TODESCHINI 500G;UN;7896018100602;19021100;1;MASSA INSTANTANEA;MERCEARIA;;;
PINHO SOL CITRUS LIMAO COLGATE 1000ML;UN;7891024195604;38089419;1;DESINFETANTE;MATERIAIS LIMPEZA;;;
GLORIA FESTA CAJUZINHO 365G;UN;7896034680522;19019020;1;DOCE EM PASTA;MERCEARIA;;;
GEL BOZZANO ESTILO STREET 230G;UN;7891350031584;33059000;1;GEL;GEL P/CABELO;;;
GEL BOZZANO ESTILO AGITO 230G;UN;7891350031621;33059000;1;GEL;PERFUMARIA/COSMETICOS;;;
LEITE TIROL B 1L;UN;7896256600025;04012090;1;LEITE;FRIOS LEITE L.V.;;;
PALITOS EMP MERLUZA FRIPUR 300G;UN;7730108002103;03049900;1;;;;;
MACARRAO INT VITAMINADO RENATA 500G;UN;7896022201982;19023000;1;MASSA INSTANTANEA;MASSAS RENATA;;;
GEL FIX VITA CAPILLI MAGIC 240G;UN;7896279102070;33059000;1;GEL P/CABELO;HIGIENE E BELEZA;;;
REFIL SANIT HARPIC MACA RECKITT 70G;UN;7891035524608;34022000;1;DESODORIZANTE;DESODORIZADOR SANITARIO;;;
REFIL SANIT BOM AR LAV RECKITT 70G;UN;7891035523502;33074900;1;DESOD. P/SANITARIO RF;DESODORIZADOR SANITARIO;;;
MIST BOLO ZAELI COCO 450G;UN;7896183904760;19012000;1;IMPORTACAO;MISTURA PARA BOLO DIVERSAS;;;
POLPA DE ABACAXI  INTEGRAL DM 200G;UN;7896519210329;08119000;1;SUCOS;MERCEARIA;;;
PEITO CORDON BLEU PERDIGAO 500G;UN;7891515020699;16023200;1;PERDIGAO;PRESUNTO/APRESUNTADO;;;
